leg_id,datetime,pivot_side,structure_label,pivot_price,price_change,pct_change,swing_direction,threshold_pct
127,2024-12-03 04:57:00,High,HH,68.93,0.15000000000000568,0.002180866530968384,Up,0.001
128,2024-12-03 05:07:00,Low,LL,68.73,-0.20000000000000284,-0.0029014942695488877,Down,0.001
129,2024-12-03 05:19:00,High,LH,68.86,0.12999999999999545,0.0018914593336243346,Up,0.001
130,2024-12-03 05:30:00,Low,HL,68.76,-0.09999999999999432,-0.001452221899506112,Down,0.001
131,2024-12-03 05:39:00,High,HH,68.88,0.11999999999999034,0.0017452006980800405,Up,0.001
132,2024-12-03 05:48:00,Low,LL,68.74,-0.14000000000000057,-0.002032520325203291,Down,0.001
133,2024-12-03 05:53:00,High,LH,68.84,0.10000000000000853,0.0014547570555718536,Up,0.001
134,2024-12-03 05:58:00,Low,LL,68.66,-0.18000000000000682,-0.0026147588611273864,Down,0.001
135,2024-12-03 06:33:00,High,HH,68.92,0.2600000000000051,0.003786775415088872,Up,0.001
136,2024-12-03 06:36:00,Low,HL,68.81,-0.10999999999999943,-0.0015960533952408262,Down,0.001
137,2024-12-03 06:48:00,High,HH,68.92,0.10999999999999943,0.0015986048539455844,Up,0.001
138,2024-12-03 06:50:00,Low,HL,68.84,-0.0799999999999983,-0.0011607661056296514,Down,0.001
139,2024-12-03 07:22:00,High,HH,69.03,0.18999999999999773,0.0027600232423008464,Up,0.001
140,2024-12-03 07:27:00,Low,HL,68.93,-0.09999999999999432,-0.001448645516442082,Down,0.001
141,2024-12-03 07:41:00,High,HH,69.25,0.3199999999999932,0.004642390831278043,Up,0.001
142,2024-12-03 07:46:00,Low,HL,69.18,-0.06999999999999318,-0.0010108303249096728,Down,0.001
143,2024-12-03 07:55:00,High,HH,69.31,0.12999999999999545,0.0018791558253830054,Up,0.001
144,2024-12-03 08:00:00,Low,HL,69.23,-0.0799999999999983,-0.0011542345981820912,Down,0.001
145,2024-12-03 08:12:00,High,HH,69.44,0.20999999999999375,0.0030333670374114163,Up,0.001
146,2024-12-03 08:24:00,Low,LL,69.09,-0.3499999999999943,-0.005040322580645129,Down,0.001
147,2024-12-03 08:30:00,High,LH,69.2,0.10999999999999943,0.0015921262121869617,Up,0.001
148,2024-12-03 08:33:00,Low,HL,69.13,-0.07000000000000739,-0.001011560693641722,Down,0.001
149,2024-12-03 08:45:00,High,HH,69.31,0.18000000000000682,0.002603789960943237,Up,0.001
150,2024-12-03 08:47:00,Low,HL,69.22,-0.09000000000000341,-0.0012985139229548803,Down,0.001
151,2024-12-03 08:51:00,High,HH,69.34,0.12000000000000455,0.0017336030049119877,Up,0.001
152,2024-12-03 08:58:00,Low,LL,69.16,-0.18000000000000682,-0.0025959042399770205,Down,0.001
153,2024-12-03 09:03:00,High,LH,69.32,0.1599999999999966,0.0023134759976863872,Up,0.001
154,2024-12-03 09:06:00,Low,LL,69.07,-0.25,-0.003606462781304054,Down,0.001
155,2024-12-03 09:20:00,High,LH,69.19,0.12000000000000455,0.0017373678876502208,Up,0.001
156,2024-12-03 09:38:00,Low,LL,68.75,-0.4399999999999977,-0.006359300476947549,Down,0.001
157,2024-12-03 09:44:00,High,LH,69.04,0.29000000000000625,0.004218181818181899,Up,0.001
158,2024-12-03 09:53:00,Low,HL,68.87,-0.1700000000000017,-0.0024623406720741814,Down,0.001
159,2024-12-03 10:00:00,High,LH,69.02,0.14999999999999147,0.00217801655292571,Up,0.001
160,2024-12-03 10:05:00,Low,HL,68.88,-0.14000000000000057,-0.0020283975659228792,Down,0.001
161,2024-12-03 10:20:00,High,HH,69.49,0.6099999999999994,0.008855981416957093,Up,0.001
162,2024-12-03 10:24:00,Low,HL,69.33,-0.1599999999999966,-0.0023024895668440903,Down,0.001
163,2024-12-03 10:38:00,High,HH,69.64,0.3100000000000023,0.004471368815808452,Up,0.001
164,2024-12-03 10:40:00,Low,HL,69.57,-0.07000000000000739,-0.0010051694428490077,Down,0.001
165,2024-12-03 10:43:00,High,HH,69.64,0.07000000000000739,0.0010061808250683146,Up,0.001
166,2024-12-03 10:46:00,Low,LL,69.5,-0.14000000000000057,-0.0020103388856979043,Down,0.001
167,2024-12-03 11:03:00,High,HH,69.75,0.25,0.003597122302158251,Up,0.001
168,2024-12-03 11:05:00,Low,HL,69.59,-0.1599999999999966,-0.0022939068100358284,Down,0.001
169,2024-12-03 11:07:00,High,LH,69.73,0.14000000000000057,0.002011783302198644,Up,0.001
170,2024-12-03 11:09:00,Low,LL,69.57,-0.1600000000000108,-0.002294564749749206,Down,0.001
171,2024-12-03 11:27:00,High,HH,69.86,0.29000000000000625,0.004168463418140034,Up,0.001
172,2024-12-03 11:28:00,Low,HL,69.79,-0.06999999999999318,-0.0010020040080159776,Down,0.001
173,2024-12-03 11:42:00,High,HH,70.07,0.2799999999999869,0.004012036108324679,Up,0.001
174,2024-12-03 11:47:00,Low,HL,69.97,-0.09999999999999432,-0.0014271442842870297,Down,0.001
175,2024-12-03 12:32:00,High,HH,70.2,0.23000000000000398,0.003287123052736929,Up,0.001
176,2024-12-03 13:01:00,Low,LL,69.91,-0.29000000000000625,-0.00413105413105419,Down,0.001
177,2024-12-03 13:03:00,High,LH,69.98,0.07000000000000739,0.0010012873694751345,Up,0.001
178,2024-12-03 13:11:00,Low,LL,69.78,-0.20000000000000284,-0.002857959416976308,Down,0.001
179,2024-12-03 13:25:00,High,LH,69.93,0.15000000000000568,0.002149613069647449,Up,0.001
180,2024-12-03 13:28:00,Low,HL,69.86,-0.07000000000000739,-0.0010010010010010895,Down,0.001
181,2024-12-03 13:34:00,High,HH,69.98,0.12000000000000455,0.0017177211565990724,Up,0.001
182,2024-12-03 13:37:00,Low,HL,69.9,-0.0799999999999983,-0.0011431837667904565,Down,0.001
183,2024-12-03 13:49:00,High,HH,70.12,0.21999999999999886,0.003147353361945715,Up,0.001
184,2024-12-03 14:01:00,Low,HL,70.04,-0.0799999999999983,-0.0011409013120364797,Down,0.001
185,2024-12-03 14:08:00,High,HH,70.16,0.11999999999999034,0.0017133066818959541,Up,0.001
186,2024-12-03 14:29:00,Low,LL,69.9,-0.2599999999999909,-0.003705815279361313,Down,0.001
187,2024-12-03 15:15:00,High,LH,70.08,0.1799999999999926,0.0025751072961373023,Up,0.001
188,2024-12-03 16:32:00,Low,LL,69.89,-0.18999999999999773,-0.002711187214611832,Down,0.001
189,2024-12-03 18:44:00,High,HH,70.08,0.18999999999999773,0.002718557733581317,Up,0.001
190,2024-12-03 20:49:00,Low,LL,69.87,-0.20999999999999375,-0.0029965753424656683,Down,0.001
191,2024-12-03 21:06:00,High,LH,69.97,0.09999999999999432,0.0014312294260769853,Up,0.001
192,2024-12-03 21:12:00,Low,HL,69.9,-0.06999999999999318,-0.0010004287551806934,Down,0.001
193,2024-12-03 21:45:00,High,HH,70.04,0.14000000000000057,0.0020028612303291116,Up,0.001
194,2024-12-03 22:07:00,Low,HL,69.95,-0.09000000000000341,-0.0012849800114220766,Down,0.001
195,2024-12-03 22:11:00,High,LH,70.02,0.06999999999999318,0.0010007147962829421,Up,0.001
196,2024-12-03 22:29:00,Low,LL,69.92,-0.09999999999999432,-0.001428163381890779,Down,0.001
197,2024-12-04 01:50:00,High,HH,70.18,0.2600000000000051,0.003718535469107609,Up,0.001
198,2024-12-04 01:55:00,Low,HL,70.1,-0.0800000000000125,-0.0011399259048163746,Down,0.001
199,2024-12-04 02:10:00,High,HH,70.2,0.10000000000000853,0.0014265335235379428,Up,0.001
200,2024-12-04 03:17:00,Low,LL,69.99,-0.21000000000000796,-0.002991452991453092,Down,0.001
201,2024-12-04 03:30:00,High,LH,70.14,0.15000000000000568,0.0021431633090442936,Up,0.001
202,2024-12-04 03:39:00,Low,LL,69.96,-0.18000000000000682,-0.0025662959794697793,Down,0.001
203,2024-12-04 03:41:00,High,LH,70.07,0.10999999999999943,0.0015723270440251014,Up,0.001
204,2024-12-04 03:55:00,Low,LL,69.88,-0.18999999999999773,-0.002711574140145556,Down,0.001
205,2024-12-04 04:00:00,High,HH,70.08,0.20000000000000284,0.0028620492272466436,Up,0.001
206,2024-12-04 04:11:00,Low,HL,69.98,-0.09999999999999432,-0.0014269406392692918,Down,0.001
207,2024-12-04 04:16:00,High,LH,70.07,0.0899999999999892,0.001286081737639222,Up,0.001
208,2024-12-04 04:18:00,Low,LL,69.96,-0.10999999999999943,-0.0015698587127158659,Down,0.001
209,2024-12-04 05:06:00,High,HH,70.5,0.5400000000000063,0.007718696397941871,Up,0.001
210,2024-12-04 05:16:00,Low,HL,70.31,-0.18999999999999773,-0.002695035460992923,Down,0.001
211,2024-12-04 05:20:00,High,LH,70.39,0.0799999999999983,0.0011378182335370912,Up,0.001
212,2024-12-04 05:23:00,Low,HL,70.31,-0.0799999999999983,-0.0011365250745843936,Down,0.001
213,2024-12-04 05:33:00,High,HH,70.48,0.1700000000000017,0.002417863746266624,Up,0.001
214,2024-12-04 06:17:00,Low,LL,70.1,-0.38000000000000966,-0.005391600454029644,Down,0.001
215,2024-12-04 06:23:00,High,LH,70.18,0.0800000000000125,0.001141226818830443,Up,0.001
216,2024-12-04 06:32:00,Low,LL,70.04,-0.14000000000000057,-0.001994870333428378,Down,0.001
217,2024-12-04 06:57:00,High,LH,70.15,0.10999999999999943,0.0015705311250713283,Up,0.001
218,2024-12-04 07:22:00,Low,LL,69.79,-0.35999999999999943,-0.005131860299358526,Down,0.001
219,2024-12-04 07:51:00,High,LH,70.11,0.3199999999999932,0.004585184123799824,Up,0.001
220,2024-12-04 08:11:00,Low,HL,70.0,-0.10999999999999943,-0.0015689630580516534,Down,0.001
221,2024-12-04 08:20:00,High,HH,70.16,0.1599999999999966,0.0022857142857142243,Up,0.001
222,2024-12-04 08:34:00,Low,LL,69.95,-0.20999999999999375,-0.0029931584948688084,Down,0.001
223,2024-12-04 09:04:00,High,HH,70.33,0.37999999999999545,0.005432451751250733,Up,0.001
224,2024-12-04 09:08:00,Low,HL,70.14,-0.18999999999999773,-0.002701549836485073,Down,0.001
225,2024-12-04 09:11:00,High,LH,70.3,0.1599999999999966,0.0022811519817507175,Up,0.001
226,2024-12-04 09:17:00,Low,HL,70.15,-0.14999999999999147,-0.002133712660028375,Down,0.001
227,2024-12-04 09:29:00,High,HH,70.33,0.1799999999999926,0.0025659301496792075,Up,0.001
228,2024-12-04 09:38:00,Low,LL,69.95,-0.37999999999999545,-0.005403099672970257,Down,0.001
229,2024-12-04 09:47:00,High,LH,70.29,0.3400000000000034,0.004860614724803369,Up,0.001
230,2024-12-04 09:54:00,Low,HL,70.06,-0.23000000000000398,-0.003272158201735764,Down,0.001
231,2024-12-04 09:55:00,High,LH,70.15,0.09000000000000341,0.0012846131886954382,Up,0.001
232,2024-12-04 10:18:00,Low,LL,69.63,-0.5200000000000102,-0.0074126870990736116,Down,0.001
233,2024-12-04 10:30:00,High,LH,70.07,0.4399999999999977,0.006319115323854652,Up,0.001
234,2024-12-04 10:40:00,Low,HL,69.81,-0.2599999999999909,-0.0037105751391464104,Down,0.001
235,2024-12-04 10:43:00,High,LH,69.88,0.06999999999999318,0.00100272167311255,Up,0.001
236,2024-12-04 10:48:00,Low,LL,69.66,-0.21999999999999886,-0.00314825414997133,Down,0.001
237,2024-12-04 10:53:00,High,HH,69.92,0.2600000000000051,0.0037324145851278523,Up,0.001
238,2024-12-04 10:56:00,Low,HL,69.8,-0.12000000000000455,-0.0017162471395881784,Down,0.001
239,2024-12-04 10:59:00,High,LH,69.91,0.10999999999999943,0.0015759312320917651,Up,0.001
240,2024-12-04 11:24:00,Low,LL,69.47,-0.4399999999999977,-0.006293806322414497,Down,0.001
241,2024-12-04 11:29:00,High,LH,69.62,0.15000000000000568,0.002159205412408216,Up,0.001
242,2024-12-04 11:37:00,Low,HL,69.48,-0.14000000000000057,-0.0020109164033323967,Down,0.001
243,2024-12-04 11:45:00,High,HH,69.64,0.1599999999999966,0.0023028209556705814,Up,0.001
244,2024-12-04 12:11:00,Low,LL,69.25,-0.39000000000000057,-0.005600229753015551,Down,0.001
245,2024-12-04 12:17:00,High,LH,69.37,0.12000000000000455,0.0017328519855597246,Up,0.001
246,2024-12-04 12:32:00,Low,LL,69.23,-0.14000000000000057,-0.0020181634712411745,Down,0.001
247,2024-12-04 12:52:00,High,HH,69.53,0.29999999999999716,0.004333381482016341,Up,0.001
248,2024-12-04 12:59:00,Low,LL,68.76,-0.769999999999996,-0.011074356392923868,Down,0.001
249,2024-12-04 13:02:00,High,LH,68.88,0.11999999999999034,0.0017452006980800405,Up,0.001
