trade_id,transition_type,direction,from_leg_id,to_leg_id,target_leg_id,entry_time,entry_price,stop_price,stop_distance,target_time,target_price,exit_time,exit_price,exit_reason,holding_minutes,lvn_price_center,lvn_price_min,lvn_price_max,risk_eur,units,pnl_eur,balance_before_trade,balance_after_trade
109,HL_to_HH,short,398,399,403,2024-12-06 08:30:00,67.68,67.64,0.0400000000000062,2024-12-06 08:39:00,67.7,2024-12-06 08:30:00,67.64,stop,0.0,67.70240000000001,67.68560000000001,67.71920000000001,86.69334710103882,2167.3336775256316,86.69334710103882,10000.0,11417.358636997156
110,HL_to_HH,short,402,403,407,2024-12-06 08:40:00,67.68,67.62,0.0600000000000022,2024-12-06 08:55:00,67.65,2024-12-06 08:40:00,67.62,stop,0.0,67.6688,67.652,67.68560000000001,85.82641363002844,1430.4402271670865,85.82641363002844,10000.0,11503.185050627184
111,HL_to_HH,short,406,407,409,2024-12-06 08:57:00,67.57,67.52,0.0499999999999971,2024-12-06 09:10:00,67.71,2024-12-06 08:59:00,67.52,stop,2.0,67.5344,67.5176,67.55120000000001,84.96814949372816,1699.36298987466,84.96814949372816,10000.0,11588.153200120913
112,LH_to_LL,long,411,412,414,2024-12-06 09:21:00,67.58,67.64,0.0600000000000022,2024-12-06 09:43:00,67.25,2024-12-06 09:24:00,67.64,stop,3.0,67.56800000000001,67.55120000000001,67.58480000000002,84.11846799879088,1401.9744666464617,84.11846799879088,10000.0,11672.271668119703
113,LH_to_LL,long,417,418,420,2024-12-06 10:20:00,67.25,67.38,0.1299999999999954,2024-12-06 10:31:00,67.01,2024-12-06 10:31:00,67.01,target,11.0,67.2656,67.2488,67.28240000000001,83.27728331880297,640.5944870677375,-153.74267689625373,10000.0,11518.52899122345
114,LH_to_LL,long,419,420,424,2024-12-06 10:32:00,67.05,67.25,0.2000000000000028,2024-12-06 11:24:00,67.28,2024-12-06 10:45:00,67.25,stop,13.0,67.03040000000001,67.01360000000001,67.04720000000002,84.8147100877655,424.0735504388215,84.8147100877655,10000.0,11603.343701311214
115,HL_to_HH,short,428,429,433,2024-12-06 12:25:00,67.46,67.42,0.039999999999992,2024-12-06 13:56:00,67.65,2024-12-06 12:27:00,67.42,stop,2.0,67.50080000000001,67.48400000000001,67.51760000000002,83.96656298688787,2099.1640746726143,83.96656298688787,10000.0,11687.310264298103
116,LH_to_LL,long,431,432,436,2024-12-06 12:45:00,67.33,67.43,0.1000000000000085,2024-12-06 14:58:00,67.07,2024-12-06 12:48:00,67.43,stop,3.0,67.3328,67.316,67.34960000000001,83.12689735701898,831.2689735701189,83.12689735701898,10000.0,11770.437161655122
117,HL_to_HH,short,456,457,459,2024-12-09 00:31:00,67.6,67.45,0.1499999999999914,2024-12-09 02:00:00,67.62,2024-12-09 02:00:00,67.62,target,89.0,67.5344,67.5176,67.55120000000001,82.29562838344879,548.6375225563564,-10.972750451132743,10000.0,11759.46441120399
118,HL_to_HH,short,458,459,461,2024-12-09 02:01:00,67.59,67.56,0.0300000000000011,2024-12-09 03:00:00,67.95,2024-12-09 02:01:00,67.56,stop,0.0,67.56800000000001,67.55120000000001,67.58480000000002,82.40535588796011,2746.845196265233,82.40535588796011,10000.0,11841.86976709195
119,LH_to_LL,long,467,468,470,2024-12-09 04:11:00,68.13,68.2,0.0700000000000073,2024-12-09 04:18:00,67.97,2024-12-09 04:18:00,67.97,target,7.0,68.1392,68.1224,68.156,81.5813023290805,1165.4471761295983,-186.47154818073176,10000.0,11655.398218911218
121,HL_to_HH,short,472,473,475,2024-12-09 04:29:00,67.99,67.97,0.019999999999996,2024-12-09 04:35:00,68.05,2024-12-09 04:31:00,67.97,stop,2.0,67.97120000000001,67.9544,67.98800000000001,83.44601781088782,4172.300890545222,83.44601781088782,10000.0,11738.844236722105
122,HL_to_HH,short,474,475,477,2024-12-09 04:36:00,68.03,67.98,0.0499999999999971,2024-12-09 04:44:00,68.04,2024-12-09 04:41:00,67.98,stop,5.0,68.0048,67.988,68.0216,82.61155763277895,1652.231152655673,82.61155763277895,10000.0,11821.455794354884
120,LH_to_LL,long,469,470,476,2024-12-09 04:19:00,68.04,68.14,0.0999999999999943,2024-12-09 04:42:00,67.96,2024-12-09 04:42:00,67.96,target,23.0,67.97120000000001,67.9544,67.98800000000001,83.44601781088782,834.4601781089257,-66.7568142487245,10000.0,11754.698980106159
123,LH_to_LL,long,481,482,484,2024-12-09 05:44:00,67.95,68.13,0.1799999999999926,2024-12-09 05:55:00,67.89,2024-12-09 05:55:00,67.89,target,11.0,67.9376,67.9208,67.9544,82.45301019893841,458.07227888301,-27.48433673298164,10000.0,11727.214643373178
124,LH_to_LL,long,483,484,488,2024-12-09 05:56:00,67.92,68.0,0.0799999999999983,2024-12-09 06:44:00,68.04,2024-12-09 06:04:00,68.0,stop,8.0,67.90400000000001,67.8872,67.92080000000001,82.72785356626822,1034.0981695783748,82.72785356626822,10000.0,11809.942496939446
125,LH_to_LL,long,487,488,490,2024-12-09 06:48:00,68.12,68.16,0.039999999999992,2024-12-09 07:25:00,68.0,2024-12-09 07:25:00,68.0,target,37.0,68.1392,68.1224,68.156,81.90057503060554,2047.5143757655455,-245.7017250918748,10000.0,11564.240771847572
126,LH_to_LL,long,489,490,500,2024-12-09 07:27:00,68.06,68.12,0.0600000000000022,2024-12-09 09:27:00,68.16,2024-12-09 07:39:00,68.12,stop,12.0,68.072,68.0552,68.0888,84.35759228152429,1405.959871358685,84.35759228152429,10000.0,11648.598364129095
127,HL_to_HH,short,494,495,497,2024-12-09 08:22:00,68.17,68.05,0.1200000000000045,2024-12-09 08:54:00,68.37,2024-12-09 08:37:00,68.05,stop,15.0,68.1392,68.1224,68.156,83.51401635870906,695.9501363225492,83.51401635870906,10000.0,11732.112380487804
128,HL_to_HH,short,498,499,505,2024-12-09 09:21:00,68.25,68.19,0.0600000000000022,2024-12-09 10:16:00,68.71,2024-12-09 09:25:00,68.19,stop,4.0,68.24000000000001,68.2232,68.25680000000001,82.67887619512196,1377.981269918647,82.67887619512196,10000.0,11814.791256682925
129,LH_to_LL,long,501,502,504,2024-12-09 09:35:00,68.23,68.24,0.0099999999999909,2024-12-09 09:40:00,68.09,2024-12-09 09:35:00,68.24,stop,0.0,68.1392,68.1224,68.156,81.85208743317074,8185.208743324518,81.85208743317074,10000.0,11896.643344116097
130,HL_to_HH,short,508,509,513,2024-12-09 10:44:00,68.88,68.78,0.0999999999999943,2024-12-09 11:29:00,68.77,2024-12-09 10:51:00,68.78,stop,7.0,68.8784,68.8616,68.8952,81.03356655883903,810.3356655884363,81.03356655883903,10000.0,11977.676910674936
131,HL_to_HH,short,512,513,515,2024-12-09 11:30:00,68.65,68.57,0.0800000000000125,2024-12-09 11:45:00,68.78,2024-12-09 11:31:00,68.57,stop,1.0,68.7104,68.6936,68.72720000000001,80.22323089325064,1002.7903861654764,80.22323089325064,10000.0,12057.900141568187
